Drug,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3
D00002,0.090909,0.227273,0,0.401897,0.531784,0.534885,0.5,0.328674,0,0.75,0.621701,0.669261,0
D00005,0.272727,0.290909,0,0.3519,0.587329,0.559108,0.65,0.404095,0,0.75,0.743593,0.715046,0
D00007,0.272727,0.081818,0,0.267352,0.603852,0.894686,0.1,0.077204,0,0,0.119542,0.126222,0
D00014,0.272727,0.154545,0.125,0.321967,0.367756,0.824061,0.2,0.234538,0,0,0.283003,0.330856,0
D00018,0.090909,0.063636,0,0.503479,0.35982,0.797022,0.1,0.051878,0,0,0.252622,0.355236,0
D00021,0.181818,0.1,0,0.36019,0.428142,0.660848,0.2,0.080617,0,0,0.340877,0.24481,0
D00027,0.090909,0.027273,0,0.194979,0.388287,0.591793,0.15,0.017736,0,0,0.188743,0.152433,0
D00029,0.181818,0.136364,0.125,0.274272,0.297117,0.699691,0.1,0.098369,0,0,0.326311,0.406361,0
D00032,0.181818,0.081818,0,0.375321,0.501909,0.723816,0.15,0.060543,0,0.25,0.280957,0.236649,0
D00035,0.181818,0.081818,0,0.368125,0.336971,0.852326,0.05,0.017736,0,0,0.110863,0.168956,0
D00036,0.090909,0.045455,0,0.432537,0.386255,0.57964,0.2,0.036839,0,0.25,0.292235,0.180223,0
D00037,0.363636,0.063636,0,0.363121,0.679793,0.846811,0.15,0.084209,0,0,0.189707,0.311536,0
D00038,0.181818,0.045455,0,0.343842,0.300349,0.59301,0.2,0.036839,0,0,0.292235,0.180223,0
D00039,0.181818,0.1,0,0.266339,0.681727,0.769539,0.05,0.033426,0,0,0.052449,0.105566,0
D00041,0.181818,0.081818,0,0.335401,0.634989,0.917565,0.05,0.033426,0,0,0.052449,0.105566,0
D00043,0.090909,0.118182,0,0,0.908694,0.450569,0.05,0.060543,0,0,0.122853,0.233625,0
D00045,0.090909,0.109091,0,0.517776,0.335559,0.598098,0.2,0.094532,0,0.75,0.61643,0.519824,0
D00049,0.181818,0.036364,0,0.437814,0.284322,0.587962,0.2,0.036839,0,0.25,0.292235,0.180223,0
D00050,0.090909,0.172727,0,0.47212,0.594338,0.633737,0.35,0.184131,0,0,0.67461,0.572673,0
D00052,0.454545,0.154545,0,0.352254,0.401424,0.835656,0.2,0.234538,0,0,0.29098,0.326991,0
D00054,0.090909,0.1,0,0.54179,0.262913,0.605885,0.2,0.094532,0,0.25,0.553557,0.519824,0
D00055,0.181818,0.027273,0,0.241146,0.540086,0.671603,0.2,0.046404,0,0,0.271013,0.279463,0
D00065,0.181818,0.118182,0,0.278215,0.59902,0.770571,0.05,0.054898,0,0,0.078214,0.143509,0
D00070,0.272727,0.163636,0,0.36956,0.523862,0.680098,0.55,0.286105,0,0.5,0.636795,0.534936,0
D00094,0.181818,0.245455,0,0.558524,0.681345,0.512084,0.3,0.198593,0,0,0.495252,0.424322,0
D00097,0.181818,0.045455,0,0.392794,0.402753,0.621059,0.2,0.041315,0,0,0.321646,0.246656,0
D00103,0.272727,0.045455,0,0.406929,0.350205,0.974688,0.1,0.057022,0,0,0.119542,0.198885,0
D00107,0.090909,0.618182,0,0.618324,0.516789,0.642413,0.35,0.558827,0,0,0.563976,0.690316,0
D00109,0.181818,0.063636,0,0.354901,0.734477,0.586349,0.25,0.084209,0,0,0.399397,0.311172,0
D00118,0.181818,0.118182,0,0.499255,0.576234,0.454522,0.3,0.10374,0,0,0.627641,0.424169,0
D00120,0.181818,0.145455,0.125,0.512418,0.428807,0.471479,0.5,0.172415,0,0,0.713547,0.544274,0
D00125,0.090909,0.281818,0,0.593988,0.438374,0.506825,0.35,0.277607,0,0,0.717802,0.70809,0
D00126,0.181818,0.154545,0,0.56168,0.598105,0.547376,0.2,0.107854,0,0,0.385076,0.333838,0
D00127,0.090909,0.109091,0.125,0.457443,0.621597,0.528554,0.5,0.138963,0,0.25,0.630261,0.550612,0
D00130,0.181818,0.063636,0,0.450142,0.432402,0.508821,0.35,0.10931,0,0,0.652894,0.442682,0
D00131,0.090909,0.172727,0.5,0.574559,0.954831,0.53357,0.1,0.191711,0,0,0.221004,0.285525,0
D00132,0.181818,0.118182,0,0.480185,0.454584,0.548355,0.4,0.14026,0,0,0.562261,0.424348,0
D00136,0.090909,0.209091,0,0.614637,0.426349,0,0.35,0.202153,0,0,0.49559,0.500531,0
D00139,0.090909,0.063636,0,0.567225,0.577553,0.441599,0.3,0.066289,0,0,0.664624,0.478889,0
D00141,0.181818,0.136364,0,0.616773,0.426349,0,0.45,0.172415,0,0,0.639339,0.558169,0
D00142,0.272727,0.190909,0,0.350484,0.632038,0.623156,0.55,0.290826,0,1,0.686317,0.549083,0
D00145,0.090909,0.154545,0,0.474769,0.715575,0.367733,0.3,0.16379,0,0.5,0.592599,0.462674,0
D00148,0.090909,0.409091,0,0.719899,0.50455,0.599493,0.35,0.353954,0,0,0.588543,0.523341,0
D00153,0.090909,0.209091,0,0.46605,0.629286,0.580055,0.2,0.090202,0,0,0.544558,0.596544,0
D00155,0.090909,0.136364,0,0.550784,0.288671,0.6224,0.15,0.104271,0,0.25,0.536922,0.497013,0
D00158,0.181818,0.127273,0,0.532723,0.664482,0.554246,0.35,0.126972,0,0,0.559736,0.447587,0
D00160,0.181818,0.118182,0,0.329607,0.304101,0.807379,0.05,0.113429,0,0,0.078214,0,0
D00168,0.090909,0.109091,0,0.44103,0.347038,0.662394,0.15,0.092205,0,0,0.417975,0.459549,0
D00169,0.181818,0.090909,0,0.632073,0.426349,0,0.35,0.126972,0,0,0.544272,0.448716,0
D00183,0.181818,0.1,0,0.520145,0.802572,0.567697,0.3,0.092205,0,0.25,0.558409,0.466389,0
D00184,0.090909,1,0,0.447,0.677396,0.65579,0.6,1,0,0,0.555928,0.739405,0
D00185,0.090909,0.209091,0,0.540459,0.474319,0.598933,0.15,0.083566,0,0,0.576943,0.586918,0
D00186,0.181818,0.163636,0,0.598212,0.446667,0.61203,0.3,0.135527,0,0,0.643321,0.572111,1
D00187,0.090909,0.390909,0,0.6663,0.515071,0.593816,0.2,0.218413,0,0,0.542946,0.567928,0
D00188,0.090909,0.390909,0,0.666106,0.480264,0.614487,0.15,0.212872,0,0,0.528273,0.560023,0
D00196,0.090909,0.190909,0,0.380505,0.722257,0.430844,0.2,0.0922,0,0,0.575424,0.567977,0
D00198,0.090909,0.381818,0,0.642685,0.510052,0.510376,0.5,0.373152,0,0,0.691164,0.694942,0
D00203,0.181818,0.663636,0,0.522765,0.393903,0.750781,0.45,0.747481,0,0,0.589454,0.665694,0
D00208,0.090909,0.163636,0,0.448045,0.681894,0.564954,0.25,0.103475,0,0,0.595855,0.668759,1
D00216,0.090909,0.390909,0,0.542909,0.270528,0.822099,0.05,0.361753,0,0,0.520621,0.665657,0
D00217,0.090909,0.072727,0,0.395067,0.586543,0.717615,0.2,0.060543,0,0,0.335323,0.231994,0
D00218,0.090909,0.045455,0.25,0.348597,0.854158,0.747726,0.25,0.05761,0,0.5,0.369015,0.344062,0
D00219,0.090909,0.172727,0.125,0.330392,0.534244,0.602408,0.35,0.168592,0,0,0.483723,0.452129,0
D00222,0.090909,0.090909,0,0.45004,0.438274,0.461887,0.2,0.098369,0,0.25,0.497403,0.424705,0
D00224,0.090909,0.027273,0,0.565631,0.310355,0.67359,0.2,0.018797,0,0.75,0.477505,0.323262,0
D00225,0.090909,0.109091,0,0.628885,0.426349,0,0.45,0.122891,0,0.5,0.675874,0.543375,0
D00227,0.090909,0.063636,0,0.343,0.897697,0.336963,0.2,0.038242,0,0.25,0.431112,0.432902,0
D00231,0.090909,0.072727,0,0.477016,0.373464,0.591243,0.3,0.075072,0,0.25,0.499768,0.357977,0
D00234,0.090909,0.281818,0,0.591169,0.385778,0.556599,0.5,0.282572,0,0.25,0.632019,0.572135,0
D00251,0.181818,0.127273,0.125,0.392065,0.352882,0.693646,0.1,0.088493,0,0,0.252038,0.364563,0
D00252,0.090909,0.1,0,0.261809,0.446072,0.533889,0.4,0.098193,0,0,0.664074,0.481018,0
D00270,0.090909,0.172727,0.125,0.616389,0.426349,0,0.3,0.138003,0,0,0.608962,0.499336,0
D00274,0.090909,0.263636,0,0.603747,0.426349,0,0.35,0.30084,0,0,0.51768,0.531976,0
D00279,0.090909,0.127273,0,0.596382,0.426349,0,0.2,0.112085,0,0,0.377322,0.365495,0
D00283,0.090909,0.172727,0,0.621292,0.426349,0,0.35,0.138963,0,0,0.661912,0.528672,0
D00285,0.090909,0.154545,0,0.474769,0.715575,0.367733,0.3,0.16379,0,0.5,0.592599,0.462674,0
D00293,0.090909,0.109091,0,0.619951,0.426349,0,0.4,0.120883,0,0,0.607894,0.492138,0
D00294,0.090909,0.054545,0.125,0.610881,0.426349,0,0.3,0.044778,0,0,0.505335,0.436864,0
D00298,0.090909,0.572727,0,0.548112,0.515117,0.659802,0.1,0.370089,0,0,0.60734,0.768946,0
D00300,0.090909,0.190909,0,0.806504,0.272686,0.496224,0.3,0.171779,0,0,0.525681,0.390134,0
D00315,0.181818,0.181818,0,0.514811,0.657552,0.607272,0.25,0.116632,0,0,0.665934,0.556789,0
D00317,0.090909,0.163636,0,0.366676,0.650063,0.530137,0.3,0.202343,0,0.75,0.578304,0.450485,0
D00322,0.090909,0.1,0,0.665021,0.37011,0.502485,0.35,0.143728,0,1,0.578281,0.501237,0
D00324,0.090909,0.272727,0,0.583942,0.676269,0.55208,0.2,0.136877,0,0,0.615509,0.727794,0
D00325,0.090909,0.281818,0,0.56827,0.747895,0.557421,0.25,0.169787,0,0,0.628517,0.75274,0
D00328,0.090909,0.290909,0,0.590414,0.677836,0.564072,0.15,0.136877,0,0,0.596954,0.727794,0
D00330,0.181818,0.109091,0,0.45074,0.487735,0.504664,0.35,0.121734,0,0,0.631042,0.425213,0
D00332,0.181818,0.154545,0,0.373848,0.436653,0.685943,0.05,0.064902,0,0,0.198066,0.31339,0
D00333,0.090909,0.109091,0,0.46397,0.397052,0.512792,0.2,0.121734,0,0.25,0.511529,0.443793,0
D00340,0.090909,0.063636,0.25,0.589817,0.426349,0,0.35,0.064471,0,0,0.523359,0.49318,0
D00342,0.090909,0.090909,0,0.45213,0.427769,0.541556,0.15,0.092205,0,0,0.392188,0.449188,0
D00359,0.090909,0.318182,0,0.488383,0.510039,0.650204,0.2,0.230713,0,0,0.511436,0.550411,0
D00362,0.272727,0.290909,0,0.395339,0.390711,0.751946,0.3,0.307075,0,0,0.459903,0.49239,0
D00364,0.090909,0.2,0,0.617992,0.426349,0,0.4,0.195372,0,0.25,0.66443,0.559691,0
D00369,0.181818,0.163636,0,0.549867,0.426349,0,0.2,0.190574,0,0,0.431324,0.373265,0
D00371,0.090909,0.063636,0,0.343,0.897697,0.336963,0.2,0.038242,0,0.25,0.431112,0.432902,0
D00377,0.181818,0.054545,0,0.381507,0.576309,0.662489,0.2,0.046404,0,0,0.345363,0.288155,0
D00380,0.090909,0.154545,0.125,0.259416,0.604853,0.547681,0.3,0.151402,0,0,0.423869,0.383899,0
D00383,0.181818,0.309091,0,0.469839,0.442717,0.719019,0.3,0.281569,0,0,0.481771,0.555126,0
D00387,0.090909,0.1,0,0.626595,0.426349,0,0.45,0.129192,0,0.5,0.683249,0.557461,0
D00391,0.090909,0.090909,0,0.462467,0.515435,0.403246,0.15,0.110422,0,0,0.427175,0.50146,0
D00394,0.090909,0.236364,0,0.844228,0.464265,0.544478,0.3,0.155595,0,0,0.623751,0.49652,0
D00398,0.090909,0.181818,0,0.397514,0.657514,0.53532,0.25,0.187331,0,0.25,0.514224,0.473533,0
D00401,0.090909,0.045455,0.125,0.48259,0.649041,0.500294,0.1,0,0,0,0.132293,0.14933,0
D00410,0.090909,0.118182,0,0.772193,0.57727,0.496911,0.35,0.10374,0,0.5,0.501018,0.428809,0
D00414,0.090909,0.1,0.125,0.393521,0.675239,0.440048,0.25,0.086331,0,0,0.565666,0.423454,0
D00416,0.090909,0.118182,0,0.642662,0.426349,0,0.4,0.197016,0,0.25,0.550098,0.487913,0
D00417,0.090909,0.072727,0,0.624491,0.569499,0.526602,0.3,0.098369,0,0.25,0.541595,0.408888,0
D00418,0.090909,0.136364,0,0.372332,0.577153,0.639,0.15,0.080605,0,0.25,0.437979,0.391557,0
D00421,0.181818,0.290909,0,0.423761,0.453914,0.724117,0.3,0.262577,0,0,0.48529,0.553856,0
D00423,0.090909,0.1,0,0.52861,0.337312,0.764795,0.15,0.092205,0,0.5,0.451086,0.458138,0
D00425,0.090909,0.136364,0,0.743289,0.533192,0.488341,0.3,0.116747,0,0,0.616285,0.399012,0
D00434,0.090909,0.336364,0,0.481666,0.580086,0.622908,0.2,0.224052,0,0,0.515681,0.566567,0
D00437,0.090909,0.154545,0,0.513685,0.77127,0.498282,0.4,0.197016,0,0,0.600503,0.551398,0
D00448,0.181818,0.118182,0.125,0.42549,0.384724,0.649933,0.65,0.225498,0,0.25,0.667831,0.514868,0
D00449,0.090909,0.172727,0.125,0.70494,0.319046,0.715047,0.6,0.230713,0,0,0.619832,0.568453,0
D00451,0.090909,0.190909,0.125,0.605126,0.428832,0.498568,0.3,0.132408,0,0,0.621978,0.460927,0
D00452,0.181818,0.1,0.125,0.480717,0.47001,0.510176,0.35,0.121734,0,0,0.544735,0.417208,0
D00454,0.090909,0.181818,0.125,0.619022,0.641374,0.552248,0.3,0.122891,0,0,0.678741,0.530146,0
D00455,0.090909,0.163636,0.125,0.656237,0.663566,0.558758,0.4,0.16669,0,0.5,0.66541,0.520464,0
D00459,0.181818,0.272727,0,0.444312,0.463109,0.65793,0.45,0.30084,0,0,0.565744,0.544522,0
D00463,0.181818,0.127273,0,0.451393,0.423829,0.626253,0.45,0.168592,0,0.25,0.73574,0.48054,0
D00475,0.181818,0.163636,0.125,0.326729,0.710834,0.572231,0.3,0.155111,0,0,0.466317,0.431801,0
D00487,0.090909,0.109091,0,0.41056,0.735423,0.324003,0.2,0.084209,0,0,0.365161,0.283857,0
D00488,0.090909,0.109091,0,0.606725,0.426349,0,0.3,0.10374,0,0.5,0.548722,0.433317,0
D00494,0.090909,0.181818,0.125,0.778659,0.636218,0.503662,0.3,0.120883,0,0,0.630866,0.498047,0
D00496,0.181818,0.1,0.125,0.279629,0.839979,0.556612,0.05,0.023104,0,0,0.078214,0.211646,0
D00501,0.090909,0.154545,0,0.42281,0.761614,0.468881,0.25,0.132408,0,0.25,0.492735,0.494573,0
D00503,0.090909,0.245455,0.125,0.618501,0.426349,0,0.3,0.207446,0,0,0.617863,0.539498,0
D00505,0.090909,0.118182,0,0.774033,0.163606,0.549035,0.15,0.077204,0,0,0.293082,0.160574,0
D00510,0.090909,0.172727,0,0.65702,0.487191,0.743854,0.4,0.173625,0,0,0.587219,0.531255,0
D00512,0.090909,0.1,0,0.372729,0.402653,0.555247,0.4,0.104271,0,0,0.587872,0.52251,0
D00513,0.090909,0.181818,0,0.5912,0.427992,0.690651,0.2,0.135679,0,0,0.542069,0.401349,0
D00515,0.090909,0.063636,0,0.48647,0.508465,0.875935,0.15,0.16816,0,0,0.219497,0.231378,0
D00516,0.090909,0.081818,0,0.649595,0.334975,0.694684,0.1,0.086331,0,0,0.346628,0.437961,0
D00518,0.090909,0.045455,0.25,0.766041,0.426349,0,0.35,0.066289,0,0,0.445672,0.447429,0
D00519,0.090909,0.045455,0.25,0.590575,0.426349,0,0.4,0.064471,0,0,0.566836,0.49318,0
D00521,0.090909,0.372727,0,0.621158,0.448291,0.587943,0.45,0.287894,0,0,0.601425,0.592697,0
D00528,0.090909,0.081818,0,0.377391,0.983281,0.269295,0.2,0.044778,0,0.25,0.451708,0.461603,0
D00530,0.090909,0.127273,0,0.679697,0.686045,0.622696,0.4,0.161076,0,0.5,0.769092,0.522448,0
D00533,0.090909,0.1,0,0.37365,0.505181,0.54266,0.4,0.104271,0,0,0.635697,0.503647,0
D00535,0.181818,0.1,0,0.312285,0.444154,0.813168,0.1,0.079306,0,0,0.097607,0.058093,0
D00536,0.090909,0.118182,0,0.170065,0.437591,0.476207,0.25,0.167534,0,0,0.407539,0.322103,0
D00537,0.090909,0.181818,0.125,0.382285,0.718033,0.593612,0.1,0.083487,0,0,0.451918,0.592006,0
D00538,0.090909,0.063636,0.125,0.565008,0.058971,0.665876,0.3,0.053512,0,0.25,0.558658,0.40292,0
D00542,0.090909,0,0,1,0.426349,0,0,0,0,0,0,0.109952,0
D00543,0.090909,0.009091,0,0.554722,0.426349,0,0,0.041315,0,0,0.082789,0.228201,0
D00544,0.090909,0.027273,0,1,0.426349,0,0,0.017736,0,0,0.03065,0.160968,0
D00545,0.090909,0.009091,0,0.550468,0.426349,0,0,0.041315,0,0,0.082789,0.211342,0
D00546,0.090909,0.009091,0,0.449159,0.162302,0.468149,0,0.041315,0,0,0.082789,0.211342,0
D00547,0.090909,0.018182,0,0.564042,0.572878,0.423919,0,0.051878,0,0,0.126079,0.330774,0
D00549,0.090909,0.154545,0,0.482767,0.688129,0.536934,0.15,0.069802,0,0,0.368596,0.348173,0
D00550,0.090909,0.109091,0,0.628104,0.426349,0,0.45,0.129192,0,0.25,0.683249,0.557461,0
D00560,0.090909,0.263636,0,0.488654,0.367272,0.560668,0.5,0.270172,0,0,0.604459,0.587891,0
D00562,0.090909,0.081818,0.125,0.271769,0.666052,0.696493,0.15,0.060543,0,0,0.25493,0.256416,0
D00563,0.090909,0.172727,0,0.718305,0.411129,0.535038,0.3,0.100897,0,0.25,0.646077,0.526509,0
D00566,0.181818,0.045455,0,0.392794,0.402753,0.621059,0.2,0.041315,0,0,0.321646,0.246656,0
D00567,0.090909,0.118182,0.125,0.472078,0.551915,0.428583,0.5,0.157572,0,0.25,0.787442,0.555061,0
D00568,0.090909,0.118182,0.125,0.552463,0.305282,0.508417,0.5,0.132863,0,0,0.656528,0.512529,0
D00569,0.090909,0.109091,0,0.483607,0.59716,0.660754,0.2,0.101401,0,0,0.374798,0.267768,0
D00574,0.090909,0.136364,0,0.403662,0.611163,0.602492,0.25,0.092205,0,0,0.468076,0.464114,0
D00577,0.090909,0.172727,0,0.502259,0.543482,0.559223,0.35,0.159272,0,0,0.592773,0.440042,0
D00579,0.363636,0.018182,0,0.241004,0,1,0.1,0,0,0,0.046596,0.109952,0
D00584,0.090909,0.018182,0,0.333815,0.443649,0.589355,0.15,0.023104,0,0,0.214077,0.21791,0
D00593,0.090909,0.3,0.125,0.263578,0.58931,0.564301,0.45,0.295708,0,0,0.527685,0.561025,0
D00596,0.090909,0.163636,0.125,0.509258,0.515143,0.566624,0.4,0.210882,0,0.25,0.53227,0.46643,0
D00620,0.181818,0.254545,0,0.441436,0.42871,0.678356,0.45,0.296773,0,0,0.571387,0.533177,0
D00621,0.181818,0.254545,0,0.414979,0.462917,0.718114,0.3,0.265927,0,0,0.453092,0.482821,0
D00622,0.181818,0.409091,0,0.452364,0.435538,0.692052,0.35,0.391182,0,0,0.498511,0.57894,0
D00623,0.181818,0.309091,0,0.536695,0.533978,0.59451,0.45,0.34803,0,0,0.587639,0.578963,0
D00624,0.181818,0.290909,0,0.393463,0.503055,0.776288,0.15,0.230056,0,0,0.416241,0.527413,0
D00625,0.090909,0.154545,0,0.545831,0.168686,0.900828,0,0.088493,0,0,0.233131,0.376972,0
D00630,0.090909,0.081818,0,0.652474,0.278462,0.702979,0.05,0.0472,0,0,0.286611,0.403999,0
D00650,0.090909,0.118182,0.25,0.379557,0.393476,0.393006,0.5,0.154695,0,0,0.649722,0.586773,0
D00651,0.090909,0.118182,0.375,0.593499,0.426349,0,0.55,0.167534,0,0,0.629248,0.551571,0
D00652,0.090909,0.190909,0.375,0.486564,0.786891,0.497955,0.3,0.149559,0,0,0.561303,0.549702,0
D00653,0.090909,0.145455,0.375,0.447699,0.797341,0.521551,0.3,0.085692,0,0,0.537188,0.531535,0
D00654,0.090909,0.063636,0.25,0.349692,0.305126,0.344299,0.35,0.084238,0,0,0.576975,0.539527,0
D00655,0.090909,0.063636,0.25,0.383299,0.96373,0.672446,0.25,0.063522,0,0,0.362179,0.382515,0
D00656,0.090909,0.090909,0.25,0.569987,0.426349,0,0.35,0.0922,0,0,0.556294,0.541929,0
D00658,0.090909,0.063636,0.25,1,0.426349,0,0.35,0.0922,0,0,0.554615,0.529522,0
D00667,0.090909,0.463636,0,0.450204,0.604147,0.462643,0.4,0.427528,0,0,0.533205,0.542403,0
