Protein,Drug,CN,CQ,WG,TH,GL,FL,GM,HM,PM,GF,VF,WS,DT,GT,RW,CW,GW,HW,WW,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3,ClassLabel
hsa:5742,D00097,0,0.001672,0.001672,0.005017,0.010033,0.010033,0.001672,0,0.001672,0.003344,0.001672,0,0,0.003344,0.001672,0,0,0.001672,0,0.181818,0.045455,0,0.392794,0.402753,0.621059,0.2,0.041315,0,0,0.321646,0.246656,0,Interactive
hsa:3480,D03350,0.000732,0.000732,0.000732,0,0.007321,0.004392,0.002196,0.000732,0.000732,0.002196,0.00366,0.001464,0.001464,0.002196,0.001464,0.001464,0.001464,0,0,0.090909,0.227273,0,0.597117,0.426349,0,0.5,0.309641,0,0.5,0.674883,0.558695,0,Interactive
hsa:2043,D04025,0.003046,0.001015,0,0.001015,0.00203,0.00203,0.003046,0,0.001015,0.00203,0.00203,0.00203,0.003046,0.00203,0.001015,0.001015,0.00203,0,0,0.090909,0.2,0,0.578911,0.491831,0.44763,0.55,0.309641,0,0.75,0.652575,0.525068,0,Interactive
hsa:5140,D00417,0.0027,0.0018,0.0009,0.0018,0.009001,0.007201,0,0,0,0.0018,0,0.0018,0.0036,0.0027,0.0009,0,0,0,0.0027,0.090909,0.072727,0,0.624491,0.569499,0.526602,0.3,0.098369,0,0.25,0.541595,0.408888,0,Interactive
hsa:513,D00542,0,0,0,0,0.011976,0,0,0,0,0,0.005988,0,0,0.011976,0,0,0,0,0,0.090909,0,0,1,0.426349,0,0,0,0,0,0,0.109952,0,Interactive
hsa:10935,D00577,0,0,0.003922,0.003922,0.011765,0,0,0.003922,0,0,0,0,0,0.003922,0,0,0,0,0,0.090909,0.172727,0,0.502259,0.543482,0.559223,0.35,0.159272,0,0,0.592773,0.440042,0,Interactive
hsa:1576,D00521,0,0,0.001996,0.003992,0.003992,0.013972,0.003992,0,0,0.005988,0.005988,0,0.003992,0.003992,0,0,0,0,0,0.090909,0.372727,0,0.621158,0.448291,0.587943,0.45,0.287894,0,0,0.601425,0.592697,0,Interactive
hsa:284541,D01071,0,0.001931,0.001931,0.003861,0.007722,0.005792,0,0,0.001931,0,0.005792,0,0.007722,0,0.001931,0,0,0.001931,0,0.090909,0.127273,0,0.377247,0.758204,0.453881,0.2,0.081928,0,0,0.384056,0.490437,0,Interactive
hsa:6259,D03350,0,0,0.001642,0.001642,0.006568,0.004926,0.001642,0.001642,0.003284,0.001642,0.003284,0,0.003284,0.001642,0.001642,0.001642,0,0,0,0.090909,0.227273,0,0.597117,0.426349,0,0.5,0.309641,0,0.5,0.674883,0.558695,0,Interactive
hsa:1584,D03670,0,0,0,0,0.003984,0.00996,0.003984,0,0.001992,0.001992,0.005976,0,0.001992,0.003984,0.005976,0,0,0,0,0.090909,0.436364,0,0.534911,0.392058,0.798422,0.25,0.63277,0,0,0.368364,0.431334,0,Interactive
