Query:
hsa:4759 K12357 sialidase-2/3/4 [EC:3.2.1.18] | (RefSeq) NEU2, SIAL2; neuraminidase 2 (A)
Interacts (potential) with the following drugs:
D00007 [predicted 5 times out of 5]
D00014 [predicted 5 times out of 5]
D00018 [predicted 4 times out of 5]
D00021 [predicted 5 times out of 5]
D00027 [predicted 5 times out of 5]
D00029 [predicted 5 times out of 5]
D00032 [predicted 5 times out of 5]
D00035 [predicted 5 times out of 5]
D00036 [predicted 5 times out of 5]
D00037 [predicted 5 times out of 5]
D00038 [predicted 5 times out of 5]
D00039 [predicted 5 times out of 5]
D00041 [predicted 5 times out of 5]
D00043 [predicted 5 times out of 5]
D00049 [predicted 5 times out of 5]
D00052 [predicted 5 times out of 5]
D00055 [predicted 5 times out of 5]
D00065 [predicted 5 times out of 5]
D00097 [predicted 5 times out of 5]
D00103 [predicted 5 times out of 5]
D00109 [predicted 5 times out of 5]
D00126 [predicted 5 times out of 5]
D00160 [predicted 5 times out of 5]
D00168 [predicted 4 times out of 5]
D00184 [predicted 5 times out of 5]
D00217 [predicted 5 times out of 5]
D00222 [predicted 5 times out of 5]
D00227 [predicted 5 times out of 5]
D00231 [predicted 4 times out of 5]
D00251 [predicted 5 times out of 5]
D00332 [predicted 5 times out of 5]
D00342 [predicted 4 times out of 5]
D00371 [predicted 5 times out of 5]
D00377 [predicted 5 times out of 5]
D00380 [predicted 5 times out of 5]
D00401 [predicted 5 times out of 5]
D00410 [predicted 5 times out of 5]
D00417 [predicted 4 times out of 5]
D00418 [predicted 5 times out of 5]
D00475 [predicted 5 times out of 5]
D00487 [predicted 5 times out of 5]
D00496 [predicted 5 times out of 5]
D00501 [predicted 5 times out of 5]
D00505 [predicted 5 times out of 5]
D00518 [predicted 4 times out of 5]
D00528 [predicted 5 times out of 5]
D00535 [predicted 5 times out of 5]
D00536 [predicted 5 times out of 5]
D00542 [predicted 5 times out of 5]
D00543 [predicted 5 times out of 5]
D00544 [predicted 5 times out of 5]
D00545 [predicted 5 times out of 5]
D00546 [predicted 5 times out of 5]
D00547 [predicted 5 times out of 5]
D00549 [predicted 5 times out of 5]
D00562 [predicted 5 times out of 5]
D00566 [predicted 5 times out of 5]
