Name,nAcid,nO,MATS7e,MATS1p,C1SP2,nHBDon_Lipinski,MLFER_A,nG12Ring,nT9Ring,RotBFrac,MWC7,SRW9,TSRW,WTPT.5
D00049,0.333333,0.125,0.929835,0.663413,0.375,0.058824,0.34772,0,0,0.134921,0.116038,0,0.123681,0.101254
D00059,0.333333,0.25,0.712807,1,0.125,0.352941,0.527356,0,0,0.260204,0.326448,0,0.330113,0.084165
D00079,0.333333,0.3125,0.541908,0.708808,0.125,0.176471,0.374772,0,0,0.582857,0.485136,0.832296,0.463683,0
D00094,0.333333,0.125,0.514346,0.613592,0.125,0.058824,0.34772,0,0,0.275974,0.476052,0,0.492464,0
D00095,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922
D00106,0.333333,0.3125,0.663539,0.692728,0.125,0.176471,0.557447,0,0,0.467033,0.560531,0.906609,0.536111,0
D00110,0,0.25,0.575546,0.519772,0.25,0.058824,0.168997,0,0,0.252976,0.614018,0.834264,0.602789,0.112818
D00113,0,0.1875,0.439462,0.624222,0.125,0.117647,0.091185,0,0,0.263975,0.56689,0.830296,0.562059,0.112121
D00136,0,0.125,0.580076,0.613592,0,0.117647,0.27386,0,0,0.260204,0.597114,0,0.605736,0.116942
D00139,0,0.25,0.601815,0.446785,0.25,0,0.168997,0,0.25,0.06746,0.548849,0.786981,0.537758,0
D00180,0.333333,0.3125,0.531218,0.70376,0.125,0.176471,0.374772,0,0,0.631429,0.485136,0.832296,0.463683,0
D00225,0,0,0.580076,0.613592,0.25,0,0.168997,0,0,0.048571,0.649189,0.836199,0.618994,0.43607
D00227,0,0.125,1,0.186961,0.25,0.058824,0.294529,0,0.25,0,0.478253,0.789848,0.48173,0.425241
D00232,0,0.125,0.556812,0.472991,0.125,0,0.168997,0,0,0.404762,0.563221,0.852335,0.570478,0.118631
D00234,0,0.0625,0.591792,0.564455,0,0.117647,0.227964,0,0.25,0.255639,0.706851,0.838104,0.695122,0.457233
D00235,0,0.1875,0.658052,0.646357,0.125,0.294118,0.31003,0,0,0.511278,0.356605,0,0.343322,0.179076
D00241,0.333333,0.125,0.580076,0.613592,0.125,0.235294,0.34772,0,0,0.346939,0.309115,0,0.298976,0.083804
D00255,0,0.25,0.622627,0.613437,0,0.235294,0.238298,0,0.5,0.367965,0.665246,0.841824,0.653529,0.210284
D00270,0,0,0.580076,0.613592,0,0.058824,0.168997,0,0,0.21118,0.583729,0,0.572447,0.222951
D00274,0,0.25,0.580076,0.613592,0.125,0.235294,0.261702,0,0,0.357143,0.649025,0,0.64574,0.308255
D00281,0,0,0.580076,0.613592,0,0.117647,0.317021,0,0,0.080952,0.379507,0.745791,0.37341,0.309316
D00283,0,0,0.580076,0.613592,0.125,0.117647,0.074772,0,0,0.046703,0.631555,0.640982,0.606959,0.446157
D00295,0,0,0.570397,0.596772,0,0.176471,0.347416,0,0,0.5,0.30961,0.77794,0.29419,0.579022
D00300,0,0.0625,0.578891,0.539871,0,0.058824,0.121884,0,0,0.364286,0.430155,0,0.410362,0.101337
