Protein,Drug,LN,ED,DC,MH,GI,CL,VL,CT,CW,MY,VY,nAcid,nO,MATS7e,MATS1p,C1SP2,nHBDon_Lipinski,MLFER_A,nG12Ring,nT9Ring,RotBFrac,MWC7,SRW9,TSRW,WTPT.5,ClassLabel
hsa:151,D00613,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0.1875,0.580076,0.613592,0,0.294118,0.587842,0,0,0.052795,0.599181,0.619369,0.582127,0.1045,Interactive
hsa:153,D01454,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.125,0.580076,0.613592,0,0.176471,0.172644,0,0,0.404762,0.389715,0,0.402485,0.097675,Interactive
hsa:153,D02338,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.25,0.712531,0.576757,0.125,0.235294,0.144985,0,0,0.556548,0.482796,0,0.466874,0.20071,Interactive
hsa:1129,D00397,0,0.002151,0,0,0,0,0.008602,0.002151,0,0,0,0,0.125,0.577237,0.579571,0.375,0.058824,0.091185,0,0,0.386364,0.484763,0,0.468723,0.215522,Interactive
hsa:4988,D00838,0.002506,0,0.002506,0,0,0.002506,0.007519,0.007519,0.002506,0.002506,0,0,0.0625,0.516497,0.833219,0,0.235294,0.334043,0,0,0,0.604291,0,0.602599,0.087698,Interactive
hsa:1816,D01295,0.010504,0.002101,0.002101,0,0,0.002101,0.004202,0,0.002101,0,0,0,0,0.564386,0.628441,0,0.117647,0.074772,0,0,0.235023,0.605997,0,0.59011,0.237982,Interactive
hsa:135,D00227,0.004866,0.002433,0.002433,0,0.002433,0.004866,0.024331,0,0.007299,0.002433,0.007299,0,0.125,1,0.186961,0.25,0.058824,0.294529,0,0.25,0,0.478253,0.789848,0.48173,0.425241,Interactive
hsa:3269,D02354,0.006173,0.00823,0,0,0,0.006173,0.00823,0,0.002058,0,0,0,0,0.571418,0.667888,0,0.117647,0.074772,0,0,0.242857,0.652511,0,0.64354,0.347816,Interactive
hsa:1813,D02354,0.00905,0.002262,0.002262,0,0,0,0.011312,0.006787,0.002262,0,0.006787,0,0,0.571418,0.667888,0,0.117647,0.074772,0,0,0.242857,0.652511,0,0.64354,0.347816,Interactive
hsa:1812,D00270,0.008989,0.002247,0,0,0.002247,0,0.006742,0,0.002247,0,0.002247,0,0,0.580076,0.613592,0,0.058824,0.168997,0,0,0.21118,0.583729,0,0.572447,0.222951,Interactive
