Drug,MATS5m,MATS3e,SRW7
D00040,0.570197,0.170521,0.726735
D00066,0.5485,0.126526,0.726735
D00067,0.686399,0.259227,0.726735
D00075,0.731771,0.234735,0.726735
D00088,0.56945,0.471961,0.742423
D00094,0.36788,0.137049,0
D00105,0.715416,0.268515,0.726735
D00143,0.54603,0.106526,0.726735
D00163,0.675961,0.163768,0.726735
D00182,0.654,0.255558,0.742423
D00187,0.697163,0.143743,0.726735
D00188,0.597139,0.15678,0.726735
D00211,0.876644,0.204192,0.742423
D00246,0.40584,0.396375,0.845878
D00279,0.649131,0.338568,0
D00299,0.689124,0.156244,0.726735
D00312,0.794645,0.290742,0.726735
D00316,0.264855,0.09958,0
D00327,0.725041,0.324524,0.742423
D00348,0.36788,0.137049,0
D00443,0.780943,0.038686,0.830131
D00462,0.825332,0.16221,0.742423
D00506,0,0.079094,0
D00554,0.661146,0.270482,0.742423
D00565,0.649131,0.338568,0
D00577,0.372376,0.212044,0
D00585,0.658771,0.196646,0.742423
D00586,0.984643,0.190437,0
D00596,0.732285,0.065806,0.709213
D00627,0.391115,0.277811,0.830131
D00690,0.649131,0.338568,0.821591
D00730,0.531093,0.316901,0
D00898,0.350632,0.143839,0
D00930,0.618213,0.000816,0.726735
D00950,0.488026,0.286714,0.742423
D00951,0.510818,0.250743,0.742423
D00954,0.488026,0.286714,0.742423
D00956,0.742389,0.194721,0.726735
D00961,0.745656,0,0
D00962,0.649131,0.338568,0
D00965,0.218073,0.049517,0.742423
D01115,0.794372,0.075337,1
D01132,0.347171,0.194346,0
D01161,0.732096,1,0.726735
D01217,0.57892,0.109416,0.726735
D01294,0.552316,0.005039,0.742423
D01387,0.501214,0.251731,0.896204
D01441,1,0.200315,0
D01689,0.649131,0.338568,0.742423
D02217,0.865162,0.237114,0.726735
D02367,0.485924,0.401888,0.742423
D04066,0.649131,0.338568,0.726735
D05341,0.656123,0.292253,0
