Protein,Drug,MR,FG,NL,WL,WT,KW,YY,MATS5m,MATS3e,SRW7,ClassLabel
hsa:367,D00327,0.002176,0.001088,0.003264,0.001088,0,0.001088,0.002176,0.725041,0.324524,0.742423,Interactive
hsa:2099,D00554,0.001684,0.001684,0.006734,0.001684,0,0,0.003367,0.661146,0.270482,0.742423,Interactive
hsa:2099,D00962,0.001684,0.001684,0.006734,0.001684,0,0,0.003367,0.649131,0.338568,0,Interactive
hsa:5241,D00585,0.001073,0.002146,0.003219,0,0,0.001073,0,0.658771,0.196646,0.742423,Interactive
hsa:4306,D00585,0.002035,0.001017,0.003052,0,0,0.001017,0.002035,0.658771,0.196646,0.742423,Interactive
hsa:5915,D01132,0,0.002237,0,0,0,0,0,0.347171,0.194346,0,Interactive
hsa:5241,D00950,0.001073,0.002146,0.003219,0,0,0.001073,0,0.488026,0.286714,0.742423,Interactive
hsa:5916,D00316,0,0.002208,0,0,0,0,0,0.264855,0.09958,0,Interactive
hsa:2100,D01161,0.002024,0.002024,0.004049,0,0,0,0,0.732096,1,0.726735,Interactive
hsa:9970,D00586,0.00295,0,0,0.00295,0,0,0,0.984643,0.190437,0,NonInteractive
hsa:5241,D00965,0.001073,0.002146,0.003219,0,0,0.001073,0,0.218073,0.049517,0.742423,NonInteractive
hsa:6096,D00246,0.002183,0.002183,0.008734,0.002183,0,0,0.002183,0.40584,0.396375,0.845878,NonInteractive
hsa:6097,D01441,0.002016,0.002016,0.004032,0,0,0,0,1,0.200315,0,NonInteractive
hsa:9970,D00182,0.00295,0,0,0.00295,0,0,0,0.654,0.255558,0.742423,NonInteractive
hsa:2101,D00965,0,0,0,0,0,0,0,0.218073,0.049517,0.742423,NonInteractive
hsa:6097,D00565,0.002016,0.002016,0.004032,0,0,0,0,0.649131,0.338568,0,NonInteractive
hsa:367,D02217,0.002176,0.001088,0.003264,0.001088,0,0.001088,0.002176,0.865162,0.237114,0.726735,NonInteractive
hsa:8856,D00187,0,0.002309,0,0,0,0.002309,0,0.697163,0.143743,0.726735,NonInteractive
hsa:5241,D00961,0.001073,0.002146,0.003219,0,0,0.001073,0,0.745656,0,0,NonInteractive
hsa:9971,D02367,0.002105,0.002105,0.008421,0,0,0,0.002105,0.485924,0.401888,0.742423,NonInteractive
hsa:5916,D01441,0,0.002208,0,0,0,0,0,1,0.200315,0,NonInteractive
hsa:190,D00067,0,0,0,0,0,0,0,0.686399,0.259227,0.726735,NonInteractive
hsa:6257,D00965,0.003731,0,0,0.001866,0,0,0,0.218073,0.049517,0.742423,NonInteractive
hsa:2908,D00067,0.001289,0,0.007732,0,0,0.001289,0,0.686399,0.259227,0.726735,NonInteractive
hsa:2104,D00316,0,0,0,0,0,0,0,0.264855,0.09958,0,NonInteractive
hsa:5241,D02217,0.001073,0.002146,0.003219,0,0,0.001073,0,0.865162,0.237114,0.726735,NonInteractive
hsa:6257,D00316,0.000747,0.000471,0,0.00059,0,0,0,0.264855,0.09958,0,Interactive
hsa:5241,D00066,0.001073,0.002146,0.003219,0,0,0.001073,0,0.577178,0.186311,0.739763,Interactive
hsa:2099,D00105,0.002122,0.001224,0.003735,0.001172,0,0,0.002305,0.720741,0.25333,0.726735,Interactive
hsa:2099,D00950,0.001684,0.001684,0.006734,0.001684,0,0,0.003367,0.487213,0.305078,0.742423,Interactive
hsa:367,D01161,0.000821,0.002378,0.003769,0.001789,0,0,0.001925,0.687935,0.499776,0.726735,Interactive
hsa:5468,D02217,0.001787,0.001466,0.005593,0.001677,0,0.000352,0.002348,0.785573,0.212006,0.726735,Interactive
hsa:190,D00094,0.000708,0.002338,0.000344,0,0,0,0,0.405926,0.149713,0,Interactive
hsa:2099,D04066,0.001297,0.002131,0.003634,0,0,0.000248,0,0.649131,0.338568,0.792741,Interactive
