Drug,MATS3c,MATS5v,GATS2c,GATS5c,nBase,Kier1,nAtomP,MLFER_BO,MPC6,nFRing,nF8HeteroRing,RotBtFrac,GGI6,JGI10,JGT,MWC9,WPATH
D00035,0.857472,0.577556,0.276801,0.641431,0.2,0.019334,0.15,0.151715,0.012579,0,0,0.21875,0,0,0.237507,0.319038,0.001367
D00110,0.564038,0.891246,0.379736,0.666605,0.4,0.203549,0.45,0.313128,0.261006,0.015152,0,0.262153,0.218177,0.855124,0.348634,0.725776,0.029864
D00136,0.692342,0.740178,0.253003,0.141594,0.4,0.270287,0.4,0.347073,0.220126,0,0,0.293155,0.196222,0.714566,0.503607,0.695904,0.059995
D00195,0.848662,0.665701,0.425893,0.446565,0.4,0.160726,0.4,0.321787,0.679245,0.287879,1,0.11859,0.199607,0,0.447324,0.894521,0.02401
D00219,0.4474,0.840654,0.1805,0.607488,0,0.229268,0.75,0.334603,0.150943,0,0,0.275362,0.219988,0.713781,0.567549,0.638664,0.034469
D00225,0.695134,0.740178,0.262713,0.369887,0,0.180853,0.95,0.719432,0.345912,0.045455,0,0.083333,0.222764,0,0.206394,0.755003,0.027041
D00227,0.699978,0.081422,0.28233,0.322003,0,0.078215,0.55,0.401108,0.122642,0.015152,0,0.107143,0,0,0.37702,0.63241,0.005794
D00228,0.695342,0.740178,0.252411,0.352535,0.6,0.180853,0.8,0.610669,0.327044,0.045455,0,0.041667,0.156392,0,0.129938,0.725582,0.027338
D00234,0.633912,0.847904,0.428687,0.46121,0.4,0.354744,0.5,0.439903,0.380503,0.015152,0,0.232456,0.190179,0.451522,0.256861,0.778581,0.121059
D00252,0.539776,0.58873,0.143227,0.4654,0,0.137575,0.9,0.235192,0.22956,0.045455,0,0.0625,0.085348,0,0.141081,0.683386,0.015006
D00274,0.662932,0.740178,0.25736,0.264099,0.4,0.371257,0.55,0.589886,0.261006,0,0,0.417892,0.226996,0.434205,0.430899,0.730327,0.10531
D00283,0.711165,0.740178,0.252291,0.245655,0.8,0.197082,0.8,0.782127,0.342767,0.045455,0,0.078526,0.200877,0.427562,0.281721,0.735117,0.031676
D00293,0.696871,0.740178,0.268818,0.345904,0,0.170441,0.85,0.415656,0.257862,0.015152,0,0.100379,0.182866,0,0.276866,0.694523,0.021098
D00294,0.686336,0.740178,0.263516,0.459139,0.4,0.094791,0.6,0.334257,0.132075,0.015152,0,0.097222,0.045094,0,0.745366,0.631611,0.007488
D00303,0.481989,0.672921,0.357305,0.437925,0.4,0.280165,0.3,0.383789,0.213836,0,0,0.479167,0.438757,0,0.435807,0.731367,0.040294
D00319,0.798375,0.740178,0.350722,0.377003,0,0.280165,0.55,0.472116,0.311321,0,0,0.439103,0.365935,0,0.421993,0.762011,0.038154
D00326,0.740672,0.756072,0.362717,0.441664,0.2,0.229268,0.35,0.115691,0.160377,0,0,0.456522,0.090798,0.702859,0.380474,0.628154,0.033637
D00329,0.696353,0.740178,0.26131,0.294813,0.4,0.287056,0.85,0.4115,0.342767,0.015152,0,0.317529,0.386722,0.374558,0.349243,0.748747,0.051437
D00331,0.751162,0.740178,0.278212,0.495747,0,0.212341,0.7,0.374091,0.185535,0,0,0.337121,0.136807,0.69265,0.609023,0.671833,0.027427
D00332,0.636296,0.733744,0.172163,0.462245,0,0.087363,0.15,0.161067,0.037736,0,0,0.392361,0.02986,0,0.504484,0.483738,0.00526
D00335,0.559006,0.82656,0.255218,0.578458,0,0.354376,0.65,0.587115,0.220126,0,0,0.305556,0.265082,0.57126,0.467783,0.703367,0.101447
D00336,0.68517,0.740178,0.260553,0.318051,0,0.388155,0.65,0.512297,0.238994,0,0,0.345238,0.265082,0.497055,0.481032,0.731442,0.118325
D00338,0.698431,0.740178,0.266326,0.335192,0,0.236844,0.85,0.381018,0.311321,0.015152,0,0.238782,0.313935,0.855124,0.462655,0.737626,0.035391
D00340,0.743408,0.740178,0.257266,0.54662,0,0.144915,0.75,0.32629,0.204403,0.015152,0,0.131944,0.068556,0,0.848934,0.694345,0.013193
D00345,0.727843,0.740178,0.260639,0.227129,0,0.236844,1,0.161413,0.248428,0.015152,0,0.238782,0.13288,0.601413,0.581323,0.74365,0.039491
D00349,0.568569,0.683129,0.287489,0.760278,0,0.287056,0.55,0.59716,0.389937,0.015152,0,0.353448,0.374399,0,0.369176,0.796526,0.046861
D00351,0.532007,0.740178,0.224956,0.293059,0,0.387763,0.4,1,0.427673,0,0,0.244792,0.284904,0.330717,0.418573,0.819239,0.138947
D00354,0.818401,0.740178,0.383869,0.451167,0,0.128153,0.7,0.434015,0.128931,0,0,0.264706,0.112431,0,0.466608,0.613339,0.011916
D00358,0.843632,0.713968,0.456122,0.508234,0.4,0.172873,0.45,0.204018,0.072327,0,0,0.571078,0.128885,0,0.483476,0.537758,0.016046
D00364,0.696762,0.740178,0.249054,0.33253,0,0.262605,0.7,0.414964,0.393082,0.045455,0,0.131944,0.245057,0.549362,0.277027,0.770547,0.05218
D00367,0.689793,0.740178,0.249438,0.147505,0.4,0.148633,0.45,0.70523,0.361635,0.045455,1,0.094203,0.095081,0,0.402401,0.806977,0.020385
D00373,0.695696,0.809376,0.608543,0.360793,0.4,0.229733,0.65,0.173537,0.339623,0.045455,0,0.181548,0.219378,0.237927,0.213588,0.74814,0.042433
D00379,0.572224,0.942049,0.305153,0.572318,0.2,0.212341,0.7,0.022168,0.147799,0,0,0.242424,0.14781,0.416996,0.48784,0.614479,0.029656
D00380,0.359452,0.861209,0.183994,0.650783,0,0.190003,0.65,0.210253,0.09434,0,0,0.479167,0.075868,0.64311,0.601561,0.561757,0.019879
D00392,0.645472,0,0.242769,0.230872,0,0.053277,0.3,0.255282,0.012579,0,0,0.270833,0,0,0.77555,0.540891,0.002615
D00394,0.817219,0.606169,0.66876,0.302045,0.4,0.203549,0.65,0.067891,0.273585,0.045455,0,0.262153,0.159117,0,0.248824,0.697713,0.028616
D00418,0.611355,0.71227,0.234373,0.459263,0,0.111442,0.1,0.698995,0.116352,0,0,0.21875,0.076173,0,0.390999,0.576984,0.010163
D00437,0.631866,0.669899,0.307511,0.679199,0,0.280165,0.55,0.409075,0.314465,0,0,0.399038,0.426874,0,0.389568,0.764045,0.03756
D00438,0.6175,0.733644,0.350404,0.65515,0,0.365273,0.55,0.494285,0.342767,0,0,0.495968,0.381475,0.375442,0.445486,0.770378,0.067572
D00451,0.658686,0.815763,0.43381,0.340364,0.4,0.195439,0.45,0.230689,0.18239,0.015152,0,0.404762,0.248036,0.327108,0.582824,0.654561,0.02505
D00456,0.601625,0.729252,0.416082,0.41984,0,0.180853,0.55,0.46311,0.330189,0.045455,0,0.125,0.131966,0.393357,0.296836,0.776138,0.02915
D00464,0.698476,0.740178,0.275055,0.408245,0,0.170441,0.85,0.529616,0.254717,0.015152,0,0.100379,0.196594,0,0.295084,0.688078,0.021127
D00474,0.468915,0.550002,0.271579,0.554918,0,0.128153,0.3,0.50814,0.116352,0,0,0.142157,0.07404,0,0.410046,0.668383,0.010965
D00477,0.729044,0.788844,0.383372,0.353347,0.4,0.172873,0.5,0.361621,0.075472,0,0,0.571078,0.09872,1,0.388004,0.489518,0.017888
D00480,0.897155,0.846048,0.674354,0.466902,0.4,0.170441,0.65,0.145826,0.27044,0.045455,0,0.242424,0.197441,0,0.264167,0.702988,0.021633
D00495,0.668891,0.500869,0.248165,0.315692,0,0.070307,0.3,0.255282,0.025157,0,0,0.337121,0,0,0.754913,0.570056,0.003625
D00499,0.302478,0.603445,0.163461,0.485726,0,0.15575,0.4,0.322134,0.100629,0,0,0.414063,0.037782,0,0.742595,0.654677,0.011351
D00504,0.181293,0.714064,0.086377,0.553311,0,0.104439,0.3,0.26602,0.044025,0,0,0.358974,0.067946,0,0.343598,0.402567,0.007726
D00512,0.475011,0.673317,0.179462,0.502528,0.4,0.153974,0.3,0.618982,0.207547,0,0,0.107143,0.104814,0,0.317891,0.735649,0.017859
D00513,0.784907,0.725501,0.385022,0.428069,0.2,0.161721,0.5,0.353308,0.122642,0.015152,0,0.451754,0.070976,0.746808,0.29058,0.586252,0.019939
D00519,0.747335,0.740178,0.265784,0.483111,0.4,0.144915,0.8,0.386907,0.204403,0.015152,0,0.131944,0.068556,0,0.848934,0.694345,0.013193
D00521,0.723435,0.708372,0.357872,0.47477,0.4,0.395615,0.3,0.481815,0.345912,0,0,0.342105,0.330896,0.656459,0.443263,0.803156,0.130984
D00524,0.601328,0.974557,0.412803,0.45943,0.2,0.085931,0.2,0.126429,0.018868,0,0,0.884259,0,0,0.812136,0.266136,0.003655
D00528,0.689399,0.324705,0.334892,0.434875,0,0.094791,0.55,0.425701,0.144654,0.015152,0,0.166667,0,0,0.438183,0.665984,0.007191
D00530,0.507142,0.615038,0.326503,0.315689,0,0.220175,1,0.505369,0.264151,0.015152,0,0.208333,0.194411,0.686926,0.307769,0.728143,0.034261
D00533,0.492714,0.59668,0.156691,0.568769,0,0.153974,0.9,0.344302,0.261006,0.045455,0,0.05754,0.100278,0,0.203408,0.709845,0.017146
D00536,0.503643,0.806866,0.141739,0.446412,0,0.172873,0.3,0.252858,0.084906,0,0,0.509804,0.136502,0,0.282906,0.48977,0.016284
